Date,Close
9/17/2017,53.85
9/10/2017,55.56
9/3/2017,54.89
8/27/2017,56.8
8/20/2017,55.63
8/13/2017,59.53
8/6/2017,60.55
7/30/2017,62.11
7/23/2017,65.12
7/16/2017,63.22
7/9/2017,65.71
7/2/2017,69.36
6/25/2017,68.96
6/18/2017,67.87
6/11/2017,69.91
6/4/2017,66.02
5/28/2017,72.17
5/21/2017,72.47
5/14/2017,70.18
5/7/2017,65.79
4/30/2017,62.17
4/23/2017,64.85
4/16/2017,65.13
4/9/2017,62.82
4/2/2017,62.7
3/26/2017,63.76
3/19/2017,61.98
3/12/2017,58.36
3/5/2017,59.55
2/26/2017,63.2
2/19/2017,64.08
2/12/2017,64.96
2/5/2017,66.01
1/29/2017,70.35
1/22/2017,72.5
1/15/2017,72.42
1/8/2017,75.25
1/1/2017,73.53
12/25/2016,73.09
12/18/2016,69.28
12/11/2016,66.44
12/4/2016,62.94
11/27/2016,62.46
11/20/2016,63.57
11/13/2016,59.63
11/6/2016,60.65
10/30/2016,61.5
10/23/2016,61.36
10/16/2016,59.67
10/9/2016,58.64
10/2/2016,55.39
9/25/2016,53.36
9/18/2016,52.78
9/11/2016,55.28
9/4/2016,56.47
8/28/2016,56.36
8/21/2016,59.23
8/14/2016,59.61
8/7/2016,57.52
7/31/2016,59.41
7/24/2016,65.12
7/17/2016,70.38
7/10/2016,70.96
7/3/2016,65.02
6/26/2016,67.4
6/19/2016,69.44
6/12/2016,64.7
6/5/2016,57.91
5/29/2016,57.41
5/22/2016,65.71
5/15/2016,62.19
5/8/2016,56.88
5/1/2016,55.65
4/24/2016,56.47
4/17/2016,55.56
4/10/2016,59.03
4/3/2016,61.98
3/27/2016,62.51
3/20/2016,57.88
3/13/2016,56.07
3/6/2016,58.48
2/28/2016,58.54
2/21/2016,56.95
2/14/2016,53.21
2/7/2016,51.27
1/31/2016,49.24
1/24/2016,54.56
1/17/2016,61.64
1/10/2016,57.27
1/3/2016,55.06
12/27/2015,53.26
12/20/2015,51.3
12/13/2015,49.05
12/6/2015,50.06
11/29/2015,48.79
11/22/2015,44.51
11/15/2015,42.52
11/8/2015,42.98
11/1/2015,41.86
10/25/2015,41.06
10/18/2015,42.43
10/11/2015,43.09
10/4/2015,40.07
9/27/2015,40.39
9/20/2015,41.54
9/13/2015,43.18
9/6/2015,43.03
8/30/2015,39.06
8/23/2015,41.74
8/16/2015,46.63
8/9/2015,46.68
8/2/2015,45.63
7/26/2015,46.23
7/19/2015,44.81
7/12/2015,42.26
7/5/2015,39.76
6/28/2015,40.94
6/21/2015,42.69
6/14/2015,41.51
6/7/2015,38.77
5/31/2015,37.92
5/24/2015,38.65
5/17/2015,39.96
5/10/2015,36.99
5/3/2015,39.25
4/26/2015,37.62
4/19/2015,39.35
4/12/2015,42.24
4/5/2015,42.3
3/29/2015,40.32
3/22/2015,41.79
3/15/2015,42.47
3/8/2015,41.14
3/1/2015,39.1
2/22/2015,41.76
2/15/2015,44.78
2/8/2015,43.43
2/1/2015,39.78
1/25/2015,44.31
1/18/2015,46.28
1/11/2015,45.77
1/4/2015,45.57
12/28/2014,47.2
12/21/2014,42.36
12/14/2014,46.84
12/7/2014,45.29
11/30/2014,43.38
11/23/2014,41.76
11/16/2014,39.95
11/9/2014,37.61
11/2/2014,37.06
10/26/2014,36.51
10/19/2014,34.44
10/12/2014,34.4
10/5/2014,35.59
9/28/2014,35.43
9/21/2014,34.05
9/14/2014,34.43
9/7/2014,35.71
8/31/2014,34.87
8/24/2014,34.95
8/17/2014,35.82
8/10/2014,37.48
8/3/2014,37.7
7/27/2014,42.23
7/20/2014,42.26
7/13/2014,41.66
7/6/2014,37.6
6/29/2014,33.6
6/22/2014,36.47
6/15/2014,37.51
6/8/2014,37.65
6/1/2014,38.83
5/25/2014,39.37
5/18/2014,40.28
5/11/2014,42.03
5/4/2014,44.62
4/27/2014,46.29
4/20/2014,47.4
4/13/2014,44.35
4/6/2014,44.01
3/30/2014,43.83
3/23/2014,43.63
3/16/2014,44.07
3/9/2014,44.13
3/2/2014,46.68
2/23/2014,48.76
2/16/2014,49.41
2/9/2014,45.62
2/2/2014,46.8
1/26/2014,49.72
1/19/2014,49.27
1/12/2014,48.75
